id,name,rarity,keywords,set_name,set_type
210803,Spread the Sickness,uncommon,[],Modern Masters 2015,masters
210804,Spread the Sickness [Foil],uncommon,[],Modern Masters 2015,masters
210805,"Izoni, Thousand-Eyed [Foil]",rare,[],GRN Guild Kit,box
210806,Duelist's Heritage,rare,[],Commander 2016,commander
210807,"Lazav, Dimir Mastermind",mythic,[],Zendikar Rising Commander,commander
210808,"Lazav, Dimir Mastermind [Foil]",mythic,[],Zendikar Rising Commander,commander
210809,Celestial Kirin,rare,[],Saviors of Kamigawa,expansion
210810,Celestial Kirin [Foil],rare,[],Saviors of Kamigawa,expansion
210811,"Snapdax, Apex of the Hunt [Promo]",mythic,[],Ikoria: Lair of Behemoths Promos,promo
210812,"Snapdax, Apex of the Hunt [Promo] [Foil]",mythic,[],Ikoria: Lair of Behemoths Promos,promo
210813,Ornithopter,uncommon,[],Fifth Edition,core
210814,"Kamahl, Pit Fighter [Promo] [Foil]",rare,[],15th Anniversary Cards,promo
210815,Festering Goblin,common,[],Ninth Edition,core
210816,Festering Goblin [Foil],common,[],Ninth Edition,core
210817,Orzhov Advokist,uncommon,[],Commander 2016,commander
210818,Initiate's Companion,common,[],Amonkhet,expansion
210819,Initiate's Companion [Foil],common,[],Amonkhet,expansion
210820,Tsabo's Assassin,rare,[],Invasion,expansion
210821,Tsabo's Assassin [Foil],rare,[],Invasion,expansion
210822,"Hogaak, Arisen Necropolis",rare,[],Modern Horizons,draft_innovation
210823,"Hogaak, Arisen Necropolis [Foil]",rare,[],Modern Horizons,draft_innovation
210824,Jasmine Boreal,special,[],Time Spiral Timeshifted,expansion
210825,Jasmine Boreal [Foil],special,[],Time Spiral Timeshifted,expansion
210826,Bone Dragon [Promo] [Foil],mythic,[],Core Set 2019 Promos,promo
210827,Psychic Venom,common,[],Fifth Edition,core
210828,Fire Elemental,uncommon,[],Fourth Edition Foreign Black Border,core
210829,Ancient Spring,common,[],Invasion,expansion
210830,Ancient Spring [Foil],common,[],Invasion,expansion
210831,Digsite Engineer [Extended Art],rare,[],Commander 2021,commander
210832,Belbe's Armor,uncommon,[],Nemesis,expansion
210833,Belbe's Armor [Foil],uncommon,[],Nemesis,expansion
210834,Slinking Skirge,common,[],Urza's Destiny,expansion
210835,Slinking Skirge [Foil],common,[],Urza's Destiny,expansion
210836,Thalakos Lowlands,uncommon,[],Battle Royale Box Set,box
210837,Spined Wurm,common,[],Portal,starter
210838,Grim Captain's Call,uncommon,[],Ixalan,expansion
210839,Grim Captain's Call [Foil],uncommon,[],Ixalan,expansion
210840,Catastrophe,rare,[],Battle Royale Box Set,box
210841,Enchanted Carriage,uncommon,[],Throne of Eldraine,expansion
210842,Enchanted Carriage [Foil],uncommon,[],Throne of Eldraine,expansion
210843,Insect,common,[],Shadows over Innistrad Tokens,token
210844,Floodbringer,common,[],Betrayers of Kamigawa,expansion
210845,Floodbringer [Foil],common,[],Betrayers of Kamigawa,expansion
210846,Phyresis,common,[],Mirrodin Besieged,expansion
210847,Phyresis [Foil],common,[],Mirrodin Besieged,expansion
210848,Banewhip Punisher,uncommon,[],Hour of Devastation,expansion
210849,Banewhip Punisher [Foil],uncommon,[],Hour of Devastation,expansion
210850,Mountain,common,[],Unlimited Edition,core
210851,"Nin, the Pain Artist",rare,[],Commander 2017,commander
210852,Corpse Traders,uncommon,[],Duel Decks: Jace vs. Vraska,duel_deck
210853,Rite of the Serpent,common,[],Khans of Tarkir,expansion
210854,Rite of the Serpent [Foil],common,[],Khans of Tarkir,expansion
210855,Scourge of Fleets [Promo] [Foil],rare,[],Journey into Nyx Promos,promo
210856,Maro's Gone Nuts,rare,[],Mystery Booster Playtest Cards 2019,funny
210857,Skullclamp,uncommon,[],Commander 2014,commander
210858,Skullmane Baku,common,[],Betrayers of Kamigawa,expansion
210859,Skullmane Baku [Foil],common,[],Betrayers of Kamigawa,expansion
210860,Pia Nalaar [Promo] [Foil],rare,[],Kaladesh Promos,promo
210861,Shatterskull Charger [Promo] [Foil],rare,[],Zendikar Rising Promos,promo
210862,Infected Vermin,uncommon,[],Odyssey,expansion
210863,Infected Vermin [Foil],uncommon,[],Odyssey,expansion
210864,Venerable Warsinger,rare,[],Strixhaven: School of Mages,expansion
210865,Venerable Warsinger [Foil],rare,[],Strixhaven: School of Mages,expansion
210866,Murderous Betrayal,rare,[],Eighth Edition,core
210867,Murderous Betrayal [Foil],rare,[],Eighth Edition,core
210868,Eyeblight Massacre,uncommon,[],Kaldheim Commander,commander
210869,Raise Dead,common,[],Limited Edition Beta,core
210870,Saprazzan Skerry,common,[],Mercadian Masques,expansion
210871,Saprazzan Skerry [Foil],common,[],Mercadian Masques,expansion
210872,Elder Gargaroth [Promo],mythic,[],Core Set 2021 Promos,promo
210873,Elder Gargaroth [Promo] [Foil],mythic,[],Core Set 2021 Promos,promo
210874,Sphinx Summoner,rare,[],Conflux,expansion
210875,Sphinx Summoner [Foil],rare,[],Conflux,expansion
210876,Blessing of Frost [Promo] [Foil],rare,[],Kaldheim Promos,promo
210877,Saproling,common,[],Duel Decks: Izzet vs. Golgari Tokens,token
210878,Worship,rare,[],Eighth Edition,core
210879,Worship [Foil],rare,[],Eighth Edition,core
210880,Duress,common,[],Ixalan,expansion
210881,Duress [Foil],common,[],Ixalan,expansion
210882,"Miara, Thorn of the Glade [Foil]",uncommon,[],Commander Legends,draft_innovation
210883,Flame Slash,common,[],Rise of the Eldrazi,expansion
210884,Flame Slash [Foil],common,[],Rise of the Eldrazi,expansion
210885,Forest,common,[],Duel Decks: Nissa vs. Ob Nixilis,duel_deck
210886,Touch of the Void,common,[],Battle for Zendikar,expansion
210887,Touch of the Void [Foil],common,[],Battle for Zendikar,expansion
210888,Warrant // Warden,rare,[],Ravnica Allegiance,expansion
210889,Warrant // Warden [Foil],rare,[],Ravnica Allegiance,expansion
210890,Sparkspitter,common,[],Mystery Booster,masters
210891,Hold the Perimeter,rare,[],Conspiracy: Take the Crown,draft_innovation
210892,Hold the Perimeter [Foil],rare,[],Conspiracy: Take the Crown,draft_innovation
210893,Lightning Shrieker,common,[],Fate Reforged,expansion
210894,Lightning Shrieker [Foil],common,[],Fate Reforged,expansion
210895,"Atris, Oracle of Half-Truths [Promo] [Foil]",rare,[],Theros Beyond Death Promos,promo
210896,Diamond Faerie,rare,[],Coldsnap,expansion
210897,Diamond Faerie [Foil],rare,[],Coldsnap,expansion
210898,Finale of Promise [Promo] [Foil],mythic,[],War of the Spark Promos,promo
210899,"Laelia, the Blade Reforged [Extended Art]",rare,[],Commander 2021,commander
210900,Cyclopean Tomb,rare,[],Limited Edition Beta,core
210901,Grove of the Guardian,rare,[],GRN Guild Kit,box
210902,Deadly Alliance,common,[],Zendikar Rising,expansion
210903,Deadly Alliance [Foil],common,[],Zendikar Rising,expansion
210904,Deep-Sea Terror,common,[],Magic Origins,core
210905,Deep-Sea Terror [Foil],common,[],Magic Origins,core
210906,Rhino,common,[],Modern Horizons Tokens,token
210907,Rhino [Foil],common,[],Modern Horizons Tokens,token
210908,Steamflogger Boss,rare,[],Future Sight,expansion
210909,Steamflogger Boss [Foil],rare,[],Future Sight,expansion
210910,Immaculate Magistrate,rare,[],Salvat 2011,box
210911,Soul of Eternity [Extended Art],rare,[],Commander Legends,draft_innovation
210912,Soul of Eternity [Extended Art] [Foil],rare,[],Commander Legends,draft_innovation
210913,Jaya Ballard [Promo] [Foil],mythic,[],Dominaria Promos,promo
210914,Llanowar,common,[],Planechase Anthology Planes,planechase
210915,Refresh,common,[],Odyssey,expansion
210916,Refresh [Foil],common,[],Odyssey,expansion
210917,Bind // Liberate,rare,[],Mystery Booster Playtest Cards 2021,funny
210918,"Alesha, Who Smiles at Death",rare,[],Commander 2020,commander
210919,"Nissa, Vastwood Seer // Nissa, Sage Animist [Promo] [Foil]",mythic,[],San Diego Comic-Con 2015,promo
210920,Spurnmage Advocate,uncommon,[],Judgment,expansion
210921,Spurnmage Advocate [Foil],uncommon,[],Judgment,expansion
210922,"Linvala, Shield of Sea Gate [Promo]",rare,[],Zendikar Rising Promos,promo
210923,"Linvala, Shield of Sea Gate [Promo] [Foil]",rare,[],Zendikar Rising Promos,promo
210924,Construct,common,[],Commander 2021 Tokens,token
210925,Construct [Foil],common,[],Commander 2021 Tokens,token
210926,Consuming Vapors,rare,[],Rise of the Eldrazi,expansion
210927,Consuming Vapors [Foil],rare,[],Rise of the Eldrazi,expansion
210928,Spell Blast,common,[],Fourth Edition,core
210929,Slivdrazi Monstrosity,rare,[],Mystery Booster Playtest Cards 2021,funny
210930,Pelakka Wurm,rare,[],Core Set 2019,core
210931,Pelakka Wurm [Foil],rare,[],Core Set 2019,core
210932,Ripscale Predator,common,[],Commander Legends,draft_innovation
210933,Ripscale Predator [Foil],common,[],Commander Legends,draft_innovation
210934,Twinblade Slasher,uncommon,[],Eventide,expansion
210935,Twinblade Slasher [Foil],uncommon,[],Eventide,expansion
210936,Beastmaster Ascension,rare,[],Commander 2014,commander
210937,Plains [Promo] [Foil],common,[],GRN Ravnica Weekend,promo
210938,Gemrazer,rare,[],Ikoria: Lair of Behemoths,expansion
210939,Gemrazer [Foil],rare,[],Ikoria: Lair of Behemoths,expansion
210940,Nezumi Cutthroat,common,[],Hachette UK,box
210941,Zealous Persecution,uncommon,[],Explorers of Ixalan,box
210942,"Lady Zhurong, Warrior Queen",rare,[],Portal Three Kingdoms,starter
210943,Hunting Wilds,uncommon,[],Commander 2018,commander
210944,Manabarbs,rare,[],Tenth Edition,core
210945,Manabarbs [Foil],rare,[],Tenth Edition,core
210946,Temur Charm,uncommon,[],Commander 2020,commander
210947,Necrotic Hex,rare,[],Commander Legends,draft_innovation
210948,Necrotic Hex [Foil],rare,[],Commander Legends,draft_innovation
210949,Hellion,common,[],Planechase Anthology Tokens,token
210950,Inventor's Goggles,common,[],Kaladesh,expansion
210951,Inventor's Goggles [Foil],common,[],Kaladesh,expansion
210952,Blockbuster,uncommon,[],Ravnica: City of Guilds,expansion
210953,Blockbuster [Foil],uncommon,[],Ravnica: City of Guilds,expansion
210954,Nature's Lore,common,[],Fifth Edition,core
210955,Colossus of Sardia [Foil],rare,[],Tenth Edition,core
210956,Krosan Verge,uncommon,[],Commander 2018,commander
210957,Monk Idealist,uncommon,[],Commander 2015,commander
210958,Mercadian Atlas,rare,[],Mercadian Masques,expansion
210959,Mercadian Atlas [Foil],rare,[],Mercadian Masques,expansion
210960,Drannith Magistrate [Promo] [Foil],rare,[],Ikoria: Lair of Behemoths Promos,promo
210961,Thermokarst,uncommon,[],Ice Age,expansion
210962,Knight of the White Orchid,rare,[],Commander 2021,commander
210963,Nomads' Assembly,rare,[],Commander 2014,commander
210964,Disintegrate,common,[],Summer Magic / Edgar,core
210965,"Ajani, the Greathearted [Foil]",rare,[],Secret Lair Drop,box
210966,Gift of Paradise,common,[],Commander Legends,draft_innovation
210967,Gift of Paradise [Foil],common,[],Commander Legends,draft_innovation
210968,Telepathy,uncommon,[],Seventh Edition,core
210969,Telepathy [Foil],uncommon,[],Seventh Edition,core
210970,Temple of the False God,uncommon,[],Commander 2014,commander
210971,"Nikara, Lair Scavenger",mythic,[],Commander 2020,commander
210972,"Nikara, Lair Scavenger [Foil]",mythic,[],Commander 2020,commander
210973,Rescuer Sphinx,uncommon,[],War of the Spark,expansion
210974,Rescuer Sphinx [Foil],uncommon,[],War of the Spark,expansion
210975,Forest,common,[],RNA Guild Kit,box
210976,Elvish Healer,common,[],Ice Age,expansion
210977,Mirror Gallery,rare,[],Betrayers of Kamigawa,expansion
210978,Mirror Gallery [Foil],rare,[],Betrayers of Kamigawa,expansion
210979,Tempt with Discovery,rare,[],Commander 2013,commander
210980,Loxodon Convert,common,[],New Phyrexia,expansion
210981,Loxodon Convert [Foil],common,[],New Phyrexia,expansion
210982,Grim Lavamancer [Promo] [Foil],rare,[],Judge Gift Cards 2006,promo
210983,Dread Specter,uncommon,[],Mirage,expansion
210984,Fleshformer,uncommon,[],Conflux,expansion
210985,Fleshformer [Foil],uncommon,[],Conflux,expansion
210986,Island,common,[],Commander Anthology Volume II,commander
210987,Call the Bloodline [Promo] [Foil],rare,[],Friday Night Magic 2016,promo
210988,Needlepeak Spider,common,[],Time Spiral Remastered,masters
210989,Needlepeak Spider [Foil],common,[],Time Spiral Remastered,masters
210990,Orazca Frillback,common,[],Rivals of Ixalan,expansion
210991,Orazca Frillback [Foil],common,[],Rivals of Ixalan,expansion
210992,Search for Glory [Promo],rare,[],Kaldheim Promos,promo
210993,Search for Glory [Promo] [Foil],rare,[],Kaldheim Promos,promo
210994,Mist Raven,common,[],Modern Masters 2017,masters
210995,Mist Raven [Foil],common,[],Modern Masters 2017,masters
210996,Contagion,uncommon,[],Alliances,expansion
210997,Crystal Rod,uncommon,[],Unlimited Edition,core
210998,Ghor-Clan Bloodscale,uncommon,[],Guildpact,expansion
210999,Ghor-Clan Bloodscale [Foil],uncommon,[],Guildpact,expansion
211000,Dark Depths,mythic,[],Double Masters,masters
211001,Dark Depths [Foil],mythic,[],Double Masters,masters
211002,Liliana of the Dark Realms,mythic,[],Magic 2014,core
211003,Liliana of the Dark Realms [Foil],mythic,[],Magic 2014,core
211004,Gruul War Chant,uncommon,[],Conspiracy: Take the Crown,draft_innovation
211005,Gruul War Chant [Foil],uncommon,[],Conspiracy: Take the Crown,draft_innovation
211006,Ur-Golem's Eye,common,[],Darksteel,expansion
211007,Ur-Golem's Eye [Foil],common,[],Darksteel,expansion
211008,Ghost Ship,uncommon,[],Fourth Edition Foreign Black Border,core
211009,Siren's Call,uncommon,[],Limited Edition Beta,core
211010,Lightning Elemental,common,[],Eighth Edition,core
211011,Lightning Elemental [Foil],common,[],Eighth Edition,core
211012,Mindslaver,mythic,[],Scars of Mirrodin,expansion
211013,Mindslaver [Foil],mythic,[],Scars of Mirrodin,expansion
211014,Instrument of the Bards [Promo] [Foil],rare,[],Adventures in the Forgotten Realms Promos,promo
211015,Staunch Defenders,uncommon,[],Classic Sixth Edition,core
211016,Tormented Angel,common,[],Urza's Destiny,expansion
211017,Tormented Angel [Foil],common,[],Urza's Destiny,expansion
211018,Cogworker's Puzzleknot,common,[],Kaladesh,expansion
211019,Cogworker's Puzzleknot [Foil],common,[],Kaladesh,expansion
211020,Quest for the Holy Relic,uncommon,[],Zendikar,expansion
211021,Quest for the Holy Relic [Foil],uncommon,[],Zendikar,expansion
211022,Tolarian Scholar,common,[],Dominaria,expansion
211023,Tolarian Scholar [Foil],common,[],Dominaria,expansion
211024,Lightkeeper of Emeria,uncommon,[],Commander 2011,commander
211025,Stormscale Anarch,rare,[],Dissension,expansion
211026,Stormscale Anarch [Foil],rare,[],Dissension,expansion
211027,Drifting Shade,common,[],Magic 2012,core
211028,Drifting Shade [Foil],common,[],Magic 2012,core
211029,Angel of Glory's Rise [Promo] [Foil],rare,[],Resale Promos,promo
211030,Fiery Hellhound,common,[],Magic 2011,core
211031,Fiery Hellhound [Foil],common,[],Magic 2011,core
211032,Cloudform,uncommon,[],Commander 2018,commander
211033,Luxury Suite,mythic,[],Zendikar Rising Expeditions,masterpiece
211034,Luxury Suite [Foil],mythic,[],Zendikar Rising Expeditions,masterpiece
211035,Song of the Dryads,rare,[],The List,masters
211036,Gorger Wurm,common,[],Alara Reborn,expansion
211037,Gorger Wurm [Foil],common,[],Alara Reborn,expansion
211038,Goblin Lore,uncommon,[],Tenth Edition,core
211039,Goblin Lore [Foil],uncommon,[],Tenth Edition,core
211040,Lava Serpent,common,[],Ikoria: Lair of Behemoths,expansion
211041,Lava Serpent [Foil],common,[],Ikoria: Lair of Behemoths,expansion
211042,Mountain,common,[],Portal Three Kingdoms,starter
211043,Skarrg Guildmage,uncommon,[],Gatecrash,expansion
211044,Skarrg Guildmage [Foil],uncommon,[],Gatecrash,expansion
211045,Petals of Insight,uncommon,[],Champions of Kamigawa,expansion
211046,Petals of Insight [Foil],uncommon,[],Champions of Kamigawa,expansion
211047,Opportunity,uncommon,[],Battle Royale Box Set,box
211048,Foster,rare,[],Commander 2013,commander
211049,Faerie Noble,rare,[],Homelands,expansion
211050,Temple of Epiphany,rare,[],Core Set 2020,core
211051,Temple of Epiphany [Foil],rare,[],Core Set 2020,core
211052,Solemn Simulacrum,rare,[],Mirrodin,expansion
211053,Solemn Simulacrum [Foil],rare,[],Mirrodin,expansion
211054,Canker Abomination,uncommon,[],Eventide,expansion
211055,Canker Abomination [Foil],uncommon,[],Eventide,expansion
211056,Truga Jungle,common,[],Planechase 2012 Planes,planechase
211057,Relentless Assault,rare,[],Planechase,planechase
211058,Urza's Power Plant,common,[],Rinascimento,masters
211059,Steel Squirrel,uncommon,[],Unstable,funny
211060,Steel Squirrel [Foil],uncommon,[],Unstable,funny
211061,Forest,common,[],Core Set 2020,core
211062,Forest [Foil],common,[],Core Set 2020,core
211063,Taiga,rare,[],Unlimited Edition,core
211064,Air Servant,uncommon,[],Welcome Deck 2016,starter
211065,Parallel Lives,rare,[],Innistrad,expansion
211066,Parallel Lives [Foil],rare,[],Innistrad,expansion
211067,Smite the Monstrous,common,[],Innistrad,expansion
211068,Smite the Monstrous [Foil],common,[],Innistrad,expansion
211069,Hour of Eternity,rare,[],Hour of Devastation,expansion
211070,Hour of Eternity [Foil],rare,[],Hour of Devastation,expansion
211071,"Ghalta, Primal Hunger",rare,[],Rivals of Ixalan,expansion
211072,"Ghalta, Primal Hunger [Foil]",rare,[],Rivals of Ixalan,expansion
211073,Temple of the Dragon Queen [Showcase],uncommon,[],Adventures in the Forgotten Realms,expansion
211074,Temple of the Dragon Queen [Showcase] [Foil],uncommon,[],Adventures in the Forgotten Realms,expansion
211075,Dromad Purebred,common,[],Ravnica: City of Guilds,expansion
211076,Dromad Purebred [Foil],common,[],Ravnica: City of Guilds,expansion
211077,Mutiny,common,[],Rivals of Ixalan,expansion
211078,Mutiny [Foil],common,[],Rivals of Ixalan,expansion
211079,Vedalken Ghoul,common,[],Alara Reborn,expansion
211080,Vedalken Ghoul [Foil],common,[],Alara Reborn,expansion
211081,"Jolrael, Empress of Beasts",special,[],Time Spiral Timeshifted,expansion
211082,"Jolrael, Empress of Beasts [Foil]",special,[],Time Spiral Timeshifted,expansion
211083,Fleshgrafter,common,[],Fifth Dawn,expansion
211084,Fleshgrafter [Foil],common,[],Fifth Dawn,expansion
211085,Malfegor,rare,[],Iconic Masters,masters
211086,Malfegor [Foil],rare,[],Iconic Masters,masters
211087,Intangible Virtue,uncommon,[],Eternal Masters,masters
211088,Intangible Virtue [Foil],uncommon,[],Eternal Masters,masters
211089,Spined Wurm,common,[],Ninth Edition,core
211090,Dingus Egg,rare,[],Fifth Edition,core
211091,Brass's Bounty [Promo],rare,[],Rivals of Ixalan Promos,promo
211092,Brass's Bounty [Promo] [Foil],rare,[],Rivals of Ixalan Promos,promo
211093,Martyr of Sands,common,[],Ultimate Masters,masters
211094,Martyr of Sands [Foil],common,[],Ultimate Masters,masters
211095,Propaganda,uncommon,[],Mystery Booster,masters
211096,Granite Gargoyle,rare,[],Unlimited Edition,core
211097,Kelpie Guide,uncommon,[],Strixhaven: School of Mages,expansion
211098,Kelpie Guide [Foil],uncommon,[],Strixhaven: School of Mages,expansion
211099,Flickerform,rare,[],Commander 2013,commander
211100,Twiddle,common,[],Fourth Edition Foreign Black Border,core
211101,Earwig Squad,rare,[],Morningtide,expansion
211102,Earwig Squad [Foil],rare,[],Morningtide,expansion
211103,Chandra's Incinerator [Promo],rare,[],Core Set 2021 Promos,promo
211104,Chandra's Incinerator [Promo] [Foil],rare,[],Core Set 2021 Promos,promo
211105,Sylvan Tutor [Promo] [Foil],rare,[],Judge Gift Cards 2020,promo
211106,Mizzium Tank [Promo] [Foil],rare,[],War of the Spark Promos,promo
211107,Time Elemental,rare,[],Fifth Edition,core
211108,Vengeance,uncommon,[],Seventh Edition,core
211109,Vengeance [Foil],uncommon,[],Seventh Edition,core
211110,Buried Ruin,uncommon,[],Jumpstart,draft_innovation
211111,Windfall,uncommon,[],Commander Anthology Volume II,commander
211112,"Mangara, the Diplomat [Extended Art]",mythic,[],Core Set 2021,core
211113,"Mangara, the Diplomat [Extended Art] [Foil]",mythic,[],Core Set 2021,core
211114,Zombie Master,rare,[],Fourth Edition Foreign Black Border,core
211115,"Alena, Kessig Trapper [Foil]",uncommon,[],Commander Legends,draft_innovation
211116,Beast Attack,uncommon,[],Duel Decks: Mind vs. Might,duel_deck
211117,Armored Pegasus,common,[],Tempest,expansion
211118,Forest,common,[],War of the Spark,expansion
211119,Forest [Foil],common,[],War of the Spark,expansion
211120,Might Sliver [Foil],uncommon,[],Premium Deck Series: Slivers,premium_deck
211121,Pillage [Promo] [Foil],rare,[],Arena League 2000,promo
211122,Neverwinter Dryad [Showcase],common,[],Adventures in the Forgotten Realms,expansion
211123,Neverwinter Dryad [Showcase] [Foil],common,[],Adventures in the Forgotten Realms,expansion
211124,Shenanigans,common,[],Mystery Booster,masters
211125,Nephalia,common,[],Planechase 2012 Planes,planechase
211126,Graven Cairns,rare,[],Double Masters,masters
211127,Graven Cairns [Foil],rare,[],Double Masters,masters
211128,Goblin Offensive,uncommon,[],Anthologies,box
211129,Lurking Informant,common,[],Ravnica: City of Guilds,expansion
211130,Lurking Informant [Foil],common,[],Ravnica: City of Guilds,expansion
211131,Grove Rumbler,uncommon,[],Battle for Zendikar,expansion
211132,Grove Rumbler [Foil],uncommon,[],Battle for Zendikar,expansion
211133,Dusk Charger,common,[],Mystery Booster,masters
211134,Knight of the Widget,uncommon,[],Unstable,funny
211135,Knight of the Widget [Foil],uncommon,[],Unstable,funny
211136,Unruly Mob,common,[],Shadows over Innistrad,expansion
211137,Unruly Mob [Foil],common,[],Shadows over Innistrad,expansion
211138,Shattered Angel,uncommon,[],New Phyrexia,expansion
211139,Shattered Angel [Foil],uncommon,[],New Phyrexia,expansion
211140,Celestial Ancient,rare,[],Dissension,expansion
211141,Celestial Ancient [Foil],rare,[],Dissension,expansion
211142,Gravebreaker Lamia [Promo] [Foil],rare,[],Theros Beyond Death Promos,promo
211143,Verdurous Gearhulk,mythic,[],Kaladesh,expansion
211144,Verdurous Gearhulk [Foil],mythic,[],Kaladesh,expansion
211145,Coastline Chimera,common,[],Theros,expansion
211146,Coastline Chimera [Foil],common,[],Theros,expansion
